date,zone,consumption,pressure,flow_rate,leakage,pipe_segment,temperature,population_served,water_quality_index
2024-01-12,Zone-C,1402.8,46.17,334.1,18.73,Segment-3,24.9,18000,83
2024-01-12,Zone-D,927.3,42.68,233.6,8.01,Segment-4,24.8,10000,90
2024-01-12,Zone-E,1110.8,61.88,296.4,11.86,Segment-5,24.9,13500,88
2024-01-13,Zone-A,1195.5,45.42,318.1,11.18,Segment-1,25.0,15000,90
2024-01-13,Zone-B,1069.3,43.82,287.8,8.98,Segment-2,25.5,12000,95
2024-01-13,Zone-C,1440.1,46.09,356.3,17.22,Segment-3,25.2,18000,81
2024-01-13,Zone-D,943.1,42.47,249.8,5.06,Segment-4,24.9,10000,91
2024-01-13,Zone-E,1136.5,43.67,295.8,9.14,Segment-5,25.0,13500,91
2024-01-14,Zone-A,1201.2,44.81,316.8,11.81,Segment-1,25.5,15000,88
2024-01-14,Zone-B,980.5,44.06,285.0,8.86,Segment-2,24.9,12000,88
2024-01-14,Zone-C,1503.6,46.22,346.6,18.71,Segment-3,24.2,18000,86
2024-01-14,Zone-D,809.9,42.27,242.1,4.93,Segment-4,25.6,10000,93
2024-01-14,Zone-E,1108.6,43.41,284.7,11.47,Segment-5,24.5,13500,88
2024-01-15,Zone-A,1263.5,45.41,328.5,12.7,Segment-1,25.1,15000,85
2024-01-15,Zone-B,1015.6,44.09,280.1,8.01,Segment-2,24.8,12000,93
2024-01-15,Zone-C,1527.7,46.17,348.9,33.03,Segment-3,25.1,18000,85
2024-01-15,Zone-D,837.7,42.95,241.6,3.83,Segment-4,25.3,10000,94
2024-01-15,Zone-E,1168.8,44.05,289.6,11.91,Segment-5,25.5,13500,86
2024-01-16,Zone-A,1260.8,44.47,326.1,12.59,Segment-1,26.0,15000,89
2024-01-16,Zone-B,955.2,43.72,282.0,7.48,Segment-2,24.8,12000,89
2024-01-16,Zone-C,1527.1,46.47,352.9,18.47,Segment-3,25.2,18000,87
2024-01-16,Zone-D,926.0,42.42,252.4,6.94,Segment-4,25.3,10000,92
2024-01-16,Zone-E,1121.2,43.42,313.1,12.88,Segment-5,25.6,13500,87
2024-01-17,Zone-A,1214.7,45.33,313.2,14.46,Segment-1,25.7,15000,86
2024-01-17,Zone-B,1056.9,43.7,279.3,6.96,Segment-2,25.5,12000,86
2024-01-17,Zone-C,1446.6,46.64,343.1,18.43,Segment-3,25.5,18000,82
2024-01-17,Zone-D,934.2,42.05,246.0,5.49,Segment-4,24.9,10000,94
2024-01-17,Zone-E,1099.3,44.05,298.9,11.25,Segment-5,25.7,13500,87
2024-01-18,Zone-A,1315.3,44.88,341.1,12.69,Segment-1,26.4,15000,89
2024-01-18,Zone-B,904.5,43.84,276.0,7.09,Segment-2,25.8,12000,90
2024-01-18,Zone-C,1472.1,46.55,343.8,17.63,Segment-3,25.2,18000,84
2024-01-18,Zone-D,877.4,42.23,240.9,7.01,Segment-4,25.9,10000,94
2024-01-18,Zone-E,1153.8,44.25,298.9,11.27,Segment-5,24.9,13500,89
2024-01-19,Zone-A,1319.3,45.15,326.0,12.97,Segment-1,25.8,15000,88
2024-01-19,Zone-B,1050.6,43.83,291.8,7.95,Segment-2,25.7,12000,90
2024-01-19,Zone-C,1498.4,45.84,343.8,17.69,Segment-3,25.5,18000,84
2024-01-19,Zone-D,991.8,42.73,245.3,5.01,Segment-4,26.4,10000,94
2024-01-19,Zone-E,1135.8,44.06,288.3,14.12,Segment-5,26.4,13500,91
2024-01-20,Zone-A,1190.1,44.87,313.2,12.31,Segment-1,25.0,15000,88
2024-01-20,Zone-B,1032.1,43.78,271.8,6.95,Segment-2,26.2,12000,91
2024-01-20,Zone-C,1477.3,46.53,353.4,18.72,Segment-3,26.4,18000,84
2024-01-20,Zone-D,845.0,42.36,238.6,4.3,Segment-4,25.2,10000,94
2024-01-20,Zone-E,1187.7,43.76,287.0,8.13,Segment-5,25.3,13500,90
2024-01-21,Zone-A,1194.4,44.68,326.3,12.81,Segment-1,25.6,15000,90
2024-01-21,Zone-B,952.6,43.7,277.3,6.48,Segment-2,26.5,12000,90
2024-01-21,Zone-C,1439.5,64.54,345.6,18.74,Segment-3,25.9,18000,85
2024-01-21,Zone-D,972.4,42.36,272.0,4.66,Segment-4,25.8,10000,92
2024-01-21,Zone-E,1191.3,44.13,286.7,8.32,Segment-5,26.2,13500,91
2024-01-22,Zone-A,1222.0,44.94,317.9,13.38,Segment-1,25.5,15000,84
2024-01-22,Zone-B,953.5,44.2,295.9,7.46,Segment-2,25.5,12000,90
2024-01-22,Zone-C,1443.1,46.34,344.2,33.76,Segment-3,26.7,18000,84
2024-01-22,Zone-D,830.7,42.42,233.4,7.64,Segment-4,25.4,10000,91
2024-01-22,Zone-E,1128.7,44.36,285.6,11.2,Segment-5,27.0,13500,93
2024-01-23,Zone-A,1232.3,45.06,312.6,12.02,Segment-1,27.3,15000,90
2024-01-23,Zone-B,1038.5,43.63,286.8,6.97,Segment-2,25.9,12000,89
2024-01-23,Zone-C,1447.1,46.66,352.6,19.82,Segment-3,25.2,18000,87
2024-01-23,Zone-D,778.3,42.47,239.9,8.19,Segment-4,25.0,10000,95
2024-01-23,Zone-E,1018.4,43.97,294.0,12.02,Segment-5,26.6,13500,89
2024-01-24,Zone-A,1298.5,45.5,312.8,12.02,Segment-1,25.6,15000,87
2024-01-24,Zone-B,1020.6,44.23,283.7,10.26,Segment-2,26.8,12000,92
2024-01-24,Zone-C,1436.1,45.57,344.6,16.39,Segment-3,26.6,18000,84
2024-01-24,Zone-D,939.0,42.58,253.4,4.32,Segment-4,25.4,10000,94
2024-01-24,Zone-E,1034.4,44.13,294.7,9.93,Segment-5,24.7,13500,90
2024-01-25,Zone-A,1221.4,45.59,331.7,10.62,Segment-1,26.3,15000,85
2024-01-25,Zone-B,959.6,44.24,283.9,7.97,Segment-2,26.6,12000,92
2024-01-25,Zone-C,1613.8,45.61,349.1,18.52,Segment-3,25.3,18000,81
2024-01-25,Zone-D,809.8,42.66,256.1,6.71,Segment-4,25.8,10000,95
2024-01-25,Zone-E,1149.5,44.29,298.7,9.79,Segment-5,26.9,13500,91
2024-01-26,Zone-A,1235.4,45.05,328.0,13.54,Segment-1,25.9,15000,89
2024-01-26,Zone-B,1082.7,43.83,280.4,7.57,Segment-2,25.5,12000,92
2024-01-26,Zone-C,1401.7,45.88,352.5,20.62,Segment-3,26.1,18000,86
2024-01-26,Zone-D,845.9,42.52,220.1,4.4,Segment-4,25.6,10000,98
2024-01-26,Zone-E,1090.7,43.8,292.3,8.68,Segment-5,26.6,13500,90
2024-01-27,Zone-A,1154.7,45.21,325.9,10.94,Segment-1,25.5,15000,89
2024-01-27,Zone-B,938.4,43.49,274.4,6.27,Segment-2,25.1,12000,88
2024-01-27,Zone-C,1436.9,45.89,341.2,17.37,Segment-3,26.2,18000,85
2024-01-27,Zone-D,882.5,42.31,221.9,5.32,Segment-4,24.8,10000,92
2024-01-27,Zone-E,1131.7,43.8,283.2,10.75,Segment-5,25.9,13500,87
2024-01-28,Zone-A,1359.7,45.71,338.2,12.0,Segment-1,25.6,15000,81
2024-01-28,Zone-B,1081.9,43.69,283.0,8.01,Segment-2,25.3,12000,90
2024-01-28,Zone-C,1428.7,45.7,361.0,15.74,Segment-3,26.1,18000,85
2024-01-28,Zone-D,986.1,42.6,247.6,5.67,Segment-4,26.7,10000,94
2024-01-28,Zone-E,1149.2,43.86,310.1,12.73,Segment-5,25.6,13500,91
2024-01-29,Zone-A,1349.6,45.56,311.4,13.01,Segment-1,25.7,15000,82
2024-01-29,Zone-B,922.1,44.04,279.7,8.48,Segment-2,25.2,12000,91
2024-01-29,Zone-C,1476.3,46.08,334.4,33.96,Segment-3,25.8,18000,83
2024-01-29,Zone-D,859.3,42.15,237.7,7.04,Segment-4,25.8,10000,94
2024-01-29,Zone-E,1145.8,43.73,291.0,9.24,Segment-5,26.6,13500,89
2024-01-30,Zone-A,1265.5,45.36,335.3,13.35,Segment-1,25.7,15000,88
2024-01-30,Zone-B,1025.0,43.6,283.4,8.15,Segment-2,25.8,12000,90
2024-01-30,Zone-C,1490.5,46.27,351.9,18.07,Segment-3,26.5,18000,84
2024-01-30,Zone-D,887.9,42.76,255.4,6.74,Segment-4,24.8,10000,92
2024-01-30,Zone-E,1028.7,44.08,305.2,11.4,Segment-5,25.7,13500,89
2024-02-01,Zone-A,1285.8,44.61,303.1,13.31,Segment-1,26.0,15000,88
2024-02-01,Zone-B,933.0,44.06,285.6,7.95,Segment-2,26.1,12000,92
2024-02-01,Zone-C,1501.7,46.2,346.2,17.98,Segment-3,26.1,18000,84
2024-02-01,Zone-D,819.7,42.62,238.3,3.86,Segment-4,25.0,10000,90
2024-02-01,Zone-E,1108.7,43.79,299.0,11.58,Segment-5,25.0,13500,90
2024-02-02,Zone-A,1309.1,45.38,319.9,12.99,Segment-1,25.5,15000,87
2024-02-02,Zone-B,1006.4,43.68,282.1,6.01,Segment-2,24.7,12000,90
2024-02-02,Zone-C,1424.1,46.0,345.9,19.71,Segment-3,25.3,18000,80
2024-02-02,Zone-D,861.7,41.72,236.8,7.37,Segment-4,25.5,10000,96
2024-02-02,Zone-E,1119.4,44.14,289.0,12.0,Segment-5,24.5,13500,87
2024-02-03,Zone-A,1342.3,44.53,314.5,11.37,Segment-1,26.3,15000,88
2024-02-03,Zone-B,1014.9,43.59,281.2,7.21,Segment-2,25.1,12000,91
2024-02-03,Zone-C,1510.2,45.82,360.3,19.62,Segment-3,26.0,18000,85
2024-02-03,Zone-D,897.3,42.81,234.4,7.5,Segment-4,25.3,10000,90
2024-02-03,Zone-E,1130.2,44.05,289.4,9.29,Segment-5,25.1,13500,92
2024-02-04,Zone-A,1212.7,45.23,323.4,11.91,Segment-1,24.6,15000,88
2024-02-04,Zone-B,971.4,43.49,291.0,8.54,Segment-2,24.9,12000,91
2024-02-04,Zone-C,1455.6,46.3,353.1,19.37,Segment-3,25.8,18000,84
2024-02-04,Zone-D,908.5,42.76,228.2,6.1,Segment-4,25.0,10000,92
2024-02-04,Zone-E,1126.0,61.5,312.3,9.36,Segment-5,24.4,13500,88
2024-02-05,Zone-A,1253.9,44.9,330.4,12.64,Segment-1,25.0,15000,84
2024-02-05,Zone-B,1052.4,43.21,286.7,7.46,Segment-2,24.3,12000,90
2024-02-05,Zone-C,1432.8,46.26,351.0,18.93,Segment-3,24.5,18000,84
2024-02-05,Zone-D,778.5,42.46,241.3,3.9,Segment-4,24.9,10000,92
2024-02-05,Zone-E,1137.1,44.16,299.1,8.75,Segment-5,25.2,13500,92
2024-02-06,Zone-A,1183.8,45.22,306.3,13.36,Segment-1,23.9,15000,86
2024-02-06,Zone-B,926.6,43.38,285.3,8.57,Segment-2,24.2,12000,92
2024-02-06,Zone-C,1464.9,46.2,350.2,34.16,Segment-3,25.5,18000,85
2024-02-06,Zone-D,976.0,42.78,236.4,5.16,Segment-4,24.0,10000,94
2024-02-06,Zone-E,1145.1,43.38,302.8,8.88,Segment-5,24.3,13500,91
2024-02-07,Zone-A,1278.4,45.29,329.5,11.85,Segment-1,24.2,15000,85
2024-02-07,Zone-B,1015.6,44.0,274.6,8.74,Segment-2,24.6,12000,93
2024-02-07,Zone-C,1457.5,46.4,342.1,17.08,Segment-3,24.2,18000,83
2024-02-07,Zone-D,950.4,42.75,241.7,4.37,Segment-4,25.2,10000,91
2024-02-07,Zone-E,1084.9,44.34,286.3,13.05,Segment-5,24.2,13500,87
2024-02-08,Zone-A,1171.0,44.8,313.6,13.99,Segment-1,24.4,15000,84
2024-02-08,Zone-B,1037.5,43.37,272.3,7.91,Segment-2,23.7,12000,92
2024-02-08,Zone-C,1448.0,46.24,362.4,17.85,Segment-3,24.2,18000,85
2024-02-08,Zone-D,973.8,42.77,245.7,3.84,Segment-4,24.2,10000,93
2024-02-08,Zone-E,1074.3,44.44,295.3,11.0,Segment-5,24.5,13500,86
2024-02-09,Zone-A,1279.9,45.03,313.6,13.46,Segment-1,23.9,15000,89
2024-02-09,Zone-B,980.9,44.29,277.1,7.98,Segment-2,24.1,12000,89
2024-02-09,Zone-C,1493.4,45.85,362.7,18.17,Segment-3,23.8,18000,86
2024-02-09,Zone-D,760.8,42.37,245.2,5.48,Segment-4,23.9,10000,96
2024-02-09,Zone-E,1163.7,43.73,307.6,8.57,Segment-5,23.7,13500,92
2024-02-10,Zone-A,1254.0,45.84,306.0,13.61,Segment-1,23.7,15000,89
2024-02-10,Zone-B,992.7,43.86,278.0,8.19,Segment-2,24.1,12000,91
2024-02-10,Zone-C,1583.3,46.22,345.6,16.58,Segment-3,23.9,18000,85
2024-02-10,Zone-D,926.6,42.09,241.5,4.84,Segment-4,23.8,10000,93
2024-02-10,Zone-E,1116.0,44.57,297.5,9.05,Segment-5,23.9,13500,90
2024-02-11,Zone-A,1265.1,45.29,326.4,11.22,Segment-1,24.2,15000,90
2024-02-11,Zone-B,992.5,43.77,284.2,8.87,Segment-2,22.7,12000,92
2024-02-11,Zone-C,1473.1,46.41,372.6,19.97,Segment-3,23.9,18000,85
2024-02-11,Zone-D,741.0,42.46,237.0,6.96,Segment-4,22.4,10000,89
2024-02-11,Zone-E,1119.8,44.05,291.7,12.11,Segment-5,22.8,13500,87
2024-02-12,Zone-A,1266.3,44.93,310.0,11.87,Segment-1,23.5,15000,90
2024-02-12,Zone-B,925.3,43.9,285.2,7.8,Segment-2,23.2,12000,89
2024-02-12,Zone-C,1466.5,46.19,372.1,19.03,Segment-3,21.6,18000,83
2024-02-12,Zone-D,853.7,42.44,246.8,7.15,Segment-4,23.3,10000,89
2024-02-12,Zone-E,1107.8,44.13,309.2,9.23,Segment-5,23.5,13500,88
2024-02-13,Zone-A,1328.8,45.14,332.8,11.84,Segment-1,23.1,15000,84
2024-02-13,Zone-B,1060.7,43.99,277.4,7.9,Segment-2,23.5,12000,92
2024-02-13,Zone-C,1447.4,46.48,351.4,31.9,Segment-3,23.8,18000,85
2024-02-13,Zone-D,784.4,43.35,263.5,5.73,Segment-4,23.5,10000,94
2024-02-13,Zone-E,1062.3,44.41,303.4,10.31,Segment-5,22.2,13500,87
2024-02-14,Zone-A,1289.7,45.22,319.1,13.38,Segment-1,21.9,15000,86
2024-02-14,Zone-B,948.9,43.14,285.2,6.64,Segment-2,22.1,12000,91
2024-02-14,Zone-C,1449.1,45.92,353.5,16.89,Segment-3,22.1,18000,86
2024-02-14,Zone-D,888.6,42.73,250.9,6.08,Segment-4,23.1,10000,92
2024-02-14,Zone-E,1191.7,44.41,306.3,9.73,Segment-5,23.2,13500,91
2024-02-15,Zone-A,1296.8,44.98,333.6,13.1,Segment-1,23.0,15000,85
2024-02-15,Zone-B,974.8,43.13,287.0,6.82,Segment-2,22.5,12000,92
2024-02-15,Zone-C,1528.8,65.11,347.2,17.92,Segment-3,22.5,18000,82
2024-02-15,Zone-D,875.8,42.42,257.1,6.1,Segment-4,21.4,10000,92
2024-02-15,Zone-E,1130.7,43.89,293.9,9.48,Segment-5,22.1,13500,87
2024-02-16,Zone-A,1335.2,44.84,333.1,15.34,Segment-1,21.0,15000,89
2024-02-16,Zone-B,1026.7,43.85,288.1,9.11,Segment-2,21.9,12000,89
2024-02-16,Zone-C,1571.4,45.87,354.5,20.0,Segment-3,21.8,18000,84
2024-02-16,Zone-D,872.4,42.85,253.8,8.59,Segment-4,22.4,10000,95
2024-02-16,Zone-E,1110.0,43.6,285.7,9.63,Segment-5,22.2,13500,89
2024-02-17,Zone-A,1231.7,44.89,325.5,11.26,Segment-1,21.3,15000,85
2024-02-17,Zone-B,974.2,43.62,270.2,8.43,Segment-2,21.6,12000,89
2024-02-17,Zone-C,1488.8,46.15,349.2,18.38,Segment-3,21.4,18000,83
2024-02-17,Zone-D,876.9,42.02,248.8,6.0,Segment-4,21.3,10000,95
2024-02-17,Zone-E,1099.4,44.31,299.6,11.04,Segment-5,21.6,13500,91
2024-02-18,Zone-A,1245.2,45.05,328.5,13.4,Segment-1,21.1,15000,86
2024-02-18,Zone-B,1008.3,43.45,277.8,8.21,Segment-2,22.6,12000,92
2024-02-18,Zone-C,1343.2,46.07,353.1,18.61,Segment-3,20.4,18000,84
2024-02-18,Zone-D,861.6,42.22,249.6,5.06,Segment-4,22.0,10000,91
2024-02-18,Zone-E,1127.7,43.71,294.9,10.16,Segment-5,21.3,13500,89
2024-02-19,Zone-A,1189.0,45.19,336.9,12.38,Segment-1,22.2,15000,91
2024-02-19,Zone-B,934.1,44.13,297.2,7.45,Segment-2,21.4,12000,93
2024-02-19,Zone-C,1458.8,46.1,350.3,19.48,Segment-3,20.5,18000,85
2024-02-19,Zone-D,849.6,42.47,257.6,9.23,Segment-4,21.1,10000,91
2024-02-19,Zone-E,1075.5,44.48,298.1,9.52,Segment-5,21.4,13500,87
2024-02-20,Zone-A,1210.1,44.46,328.6,10.65,Segment-1,20.9,15000,87
2024-02-20,Zone-B,875.5,43.92,286.6,6.65,Segment-2,20.8,12000,88
2024-02-20,Zone-C,1508.2,46.47,357.4,32.37,Segment-3,20.8,18000,84
2024-02-20,Zone-D,917.4,59.43,243.1,6.73,Segment-4,20.7,10000,91
2024-02-20,Zone-E,1142.1,43.33,299.6,10.07,Segment-5,21.1,13500,90
2024-02-21,Zone-A,1241.5,45.59,323.1,13.18,Segment-1,21.0,15000,86
2024-02-21,Zone-B,952.6,44.21,277.4,6.75,Segment-2,20.4,12000,90
2024-02-21,Zone-C,1476.4,46.48,361.6,18.13,Segment-3,20.5,18000,85
2024-02-21,Zone-D,882.8,42.25,258.0,5.24,Segment-4,20.6,10000,94
2024-02-21,Zone-E,1103.3,43.74,308.3,7.79,Segment-5,20.8,13500,87
2024-02-22,Zone-A,1257.0,45.66,319.3,12.83,Segment-1,20.0,15000,87
2024-02-22,Zone-B,892.6,43.63,292.3,9.46,Segment-2,20.1,12000,90
2024-02-22,Zone-C,1445.8,45.78,362.9,18.7,Segment-3,20.3,18000,83
2024-02-22,Zone-D,896.2,42.47,252.5,5.57,Segment-4,21.3,10000,91
2024-02-22,Zone-E,1092.5,44.03,295.1,12.06,Segment-5,20.6,13500,89
2024-02-23,Zone-A,1220.7,45.03,341.5,11.47,Segment-1,20.6,15000,91
2024-02-23,Zone-B,1056.5,44.4,277.7,9.05,Segment-2,21.3,12000,89
2024-02-23,Zone-C,1567.5,64.15,351.7,18.06,Segment-3,20.5,18000,84
2024-02-23,Zone-D,958.5,42.47,259.7,5.22,Segment-4,19.8,10000,93
2024-02-23,Zone-E,1148.6,44.12,300.0,11.27,Segment-5,20.0,13500,85
2024-02-24,Zone-A,1199.9,44.99,335.9,10.49,Segment-1,20.2,15000,85
2024-02-24,Zone-B,1070.1,44.03,289.8,9.02,Segment-2,19.9,12000,93
2024-02-24,Zone-C,1484.1,46.6,351.2,20.12,Segment-3,20.6,18000,84
2024-02-24,Zone-D,890.2,42.4,242.4,7.25,Segment-4,18.8,10000,93
2024-02-24,Zone-E,1114.1,43.75,306.1,10.0,Segment-5,19.6,13500,88
2024-02-25,Zone-A,1296.3,45.33,318.9,11.73,Segment-1,19.1,15000,86
2024-02-25,Zone-B,935.2,43.7,285.6,10.21,Segment-2,19.8,12000,90
2024-02-25,Zone-C,1403.3,46.25,352.8,18.13,Segment-3,19.1,18000,83
2024-02-25,Zone-D,871.4,42.42,241.5,6.02,Segment-4,19.8,10000,96
2024-02-25,Zone-E,1177.3,44.19,291.2,10.92,Segment-5,19.5,13500,89
2024-02-26,Zone-A,1189.3,45.33,313.8,13.84,Segment-1,19.4,15000,84
2024-02-26,Zone-B,1051.6,43.88,304.2,8.1,Segment-2,20.5,12000,93
2024-02-26,Zone-C,1527.8,46.16,357.7,14.99,Segment-3,19.1,18000,82
2024-02-26,Zone-D,946.5,42.49,252.0,5.46,Segment-4,19.1,10000,90
2024-02-26,Zone-E,1056.9,43.89,304.8,11.84,Segment-5,18.6,13500,88
2024-02-27,Zone-A,1278.7,63.31,322.0,14.21,Segment-1,18.6,15000,86
2024-02-27,Zone-B,1024.8,43.6,282.6,10.99,Segment-2,19.2,12000,90
2024-02-27,Zone-C,1497.0,45.81,356.7,32.8,Segment-3,19.3,18000,85
2024-02-27,Zone-D,964.0,42.58,258.1,6.69,Segment-4,18.9,10000,94
2024-02-27,Zone-E,1148.4,44.59,294.0,10.48,Segment-5,19.5,13500,86
2024-02-28,Zone-A,1250.2,45.57,322.8,13.42,Segment-1,19.5,15000,89
2024-02-28,Zone-B,1016.1,44.05,301.3,7.42,Segment-2,19.6,12000,90
2024-02-28,Zone-C,1426.0,46.26,366.8,17.66,Segment-3,19.1,18000,82
2024-02-28,Zone-D,873.9,42.59,246.0,4.74,Segment-4,19.3,10000,92
2024-02-28,Zone-E,1104.7,43.48,281.3,9.3,Segment-5,18.8,13500,89
2024-02-29,Zone-A,1280.5,45.4,339.5,11.41,Segment-1,19.5,15000,89
2024-02-29,Zone-B,1023.4,44.02,272.8,6.73,Segment-2,19.2,12000,94
2024-02-29,Zone-C,1468.7,45.72,360.7,17.51,Segment-3,18.9,18000,84
2024-02-29,Zone-D,1017.1,42.2,254.9,6.1,Segment-4,18.9,10000,96
2024-02-29,Zone-E,1160.3,44.64,302.1,9.34,Segment-5,18.4,13500,89
2024-02-30,Zone-A,1275.1,45.56,344.3,14.47,Segment-1,17.7,15000,88
2024-02-30,Zone-B,1050.8,43.65,280.7,7.88,Segment-2,18.9,12000,92
2024-02-30,Zone-C,1539.8,45.94,360.0,19.18,Segment-3,18.0,18000,87
2024-02-30,Zone-D,826.6,42.5,245.2,8.33,Segment-4,19.4,10000,92
2024-02-30,Zone-E,1099.2,44.01,307.1,12.17,Segment-5,17.6,13500,89
2024-03-01,Zone-A,1210.8,45.09,341.1,12.99,Segment-1,19.2,15000,86
2024-03-01,Zone-B,1014.6,43.49,287.5,10.07,Segment-2,19.1,12000,91
2024-03-01,Zone-C,1431.5,46.4,349.2,17.38,Segment-3,18.5,18000,84
2024-03-01,Zone-D,892.7,42.49,242.6,9.37,Segment-4,19.4,10000,93
2024-03-01,Zone-E,1088.4,43.52,303.8,10.84,Segment-5,18.7,13500,90
2024-03-02,Zone-A,1189.9,45.11,319.9,13.2,Segment-1,17.9,15000,88
2024-03-02,Zone-B,1046.2,43.79,292.8,6.77,Segment-2,18.9,12000,88
2024-03-02,Zone-C,1521.1,46.26,357.1,18.36,Segment-3,18.7,18000,86
2024-03-02,Zone-D,820.4,42.71,248.3,5.68,Segment-4,18.3,10000,93
2024-03-02,Zone-E,1154.7,44.59,298.7,10.56,Segment-5,19.4,13500,91
2024-03-03,Zone-A,1332.9,62.96,332.5,12.05,Segment-1,18.9,15000,86
